"%d days ago","%d days ago"
"%d hours ago","%d hours ago"
"%d minutes ago","%d minutes ago"
"%d seconds ago","%d seconds ago"
"Meilisearch Search Amasty Pages","Meilisearch Search Amasty Pages"
"Meilisearch Search Amasty Pages (Module Not Installed)","Meilisearch Search Amasty Pages (Module Not Installed)"
"Meilisearch Search Blog Posts","Meilisearch Search Blog Posts"
"Meilisearch Search Categories","Meilisearch Search Categories"
"Meilisearch Search Configuration","Meilisearch Search Configuration"
"Meilisearch Search FAQs","Meilisearch Search FAQs"
"Meilisearch Search Pages","Meilisearch Search Pages"
"Meilisearch Search Products","Meilisearch Search Products"
"Meilisearch Search Queue Runner","Meilisearch Search Queue Runner"
"Meilisearch Search Suggestions","Meilisearch Search Suggestions"
"Meilisearch Server URL","Meilisearch Server URL"
"MeiliSearch Server URL is required.","MeiliSearch Server URL is required."
"MeiliSearch Status","MeiliSearch Status"
"Method","Method"
"Min number of products per query","Min number of products per query"
"Min query popularity","Min query popularity"
"Move Index","Move Index"
"Next page","Next page"
"No","No"
"No indexes found","No indexes found"
"None","None"
"No products for query","No products for query"
"No results","No results"
"Number of blog posts","Number of blog posts"
"Number of categories","Number of categories"
"Number of jobs to run each time the cron is run","Number of jobs to run each time the cron is run"
"Number of products","Number of products"
"Number of products per page in the instant result page","Number of products per page in the instant result page"
"Number of times to retry processing of queued jobs","Number of times to retry processing of queued jobs"
"Object IDs","Object IDs"
"Oldest: %s","Oldest: %s"
"One-way Synonyms","One-way Synonyms"
"Only products visible in Catalog","Only products visible in Catalog"
"Only products visible in Search","Only products visible in Search"
"or","or"
"or in","or in"
"Pages","Pages"
"Pages' indices extra settings","Pages' indices extra settings"
"Pending","Pending"
"Pending: %s","Pending: %s"
"PID","PID"
"Please enter a valid URL (e.g., http://localhost:7700 or https://your-meilisearch-instance.com)","Please enter a valid URL (e.g., http://localhost:7700 or https://your-meilisearch-instance.com)"
"Prevent backend rendering?","Prevent backend rendering?"
"Prevent backend rendering for:","Prevent backend rendering for:"
"Previous page","Previous page"
"Primary Key","Primary Key"
"Processing","Processing"
"Processing: %s","Processing: %s"
"Process Queue Now","Process Queue Now"
"Process the queue if enabled. This allow to run jobs in the queue","Process the queue if enabled. This allow to run jobs in the queue"
"Product","Product"
"Product is deleted.","Product is deleted."
"Product is disabled.","Product is disabled."
"Product is not related to the store.","Product is not related to the store."
"Product is not visible.","Product is not visible."
"Product is out of stock.","Product is out of stock."
"Product numeric textfield attributes","Product numeric textfield attributes"
"Products","Products"
"Products' indices extra settings","Products' indices extra settings"
"Product SKU(s)","Product SKU(s)"
"Queue Enabled","Queue Enabled"
"Queue has not been processed for one hour and indexing might be stuck or your cron is not set up properly.","Queue has not been processed for one hour and indexing might be stuck or your cron is not set up properly."
"Queue Item Details","Queue Item Details"
"Queue item does not exist","Queue item does not exist"
"Queue Management","Queue Management"
"Queue Statistics:","Queue Statistics:"
"Ranking Rules Order","Ranking Rules Order"
"Rebuild additional sections.","Rebuild additional sections."
"Rebuild Amasty Advanced Navigation pages.","Rebuild Amasty Advanced Navigation pages."
"Rebuild barcode scanner index for mobile app.","Rebuild barcode scanner index for mobile app."
"Rebuild blog posts.","Rebuild blog posts."
"Rebuild categories.","Rebuild categories."
"Rebuild FAQs.","Rebuild FAQs."
"Rebuild pages.","Rebuild pages."
"Rebuild products.","Rebuild products."
"Rebuild suggestions.","Rebuild suggestions."
"Refine","Refine"
"Reindex All","Reindex All"
"Reindexed %d MeiliSearch indexes","Reindexed %d MeiliSearch indexes"
"Reindex SKU(s)","Reindex SKU(s)"
"Relevance","Relevance"
"Render template directives","Render template directives"
"Replace categories page","Replace categories page"
"Reset for Retry","Reset for Retry"
"Reset Queue","Reset Queue"
"Retries","Retries"
"Retrying","Retrying"
"Search","Search"
"Search:","Search:"
"Search Analytics","Search Analytics"
"Search API Key (optional)","Search API Key (optional)"
"Search by","Search by"
"Search entire store here...","Search entire store here..."
"Search for other ...","Search for other ..."
"Search for products","Search for products"
"Search input DOM Selector","Search input DOM Selector"
"See all products","See all products"
"See products in","See products in"
"Selected Filters","Selected Filters"
"Server Statistics","Server Statistics"
"Should check if the prices were reindexed before pushing to Meilisearch?","Should check if the prices were reindexed before pushing to Meilisearch?"
"Should check if the stock was reindexed before pushing to Meilisearch?","Should check if the stock was reindexed before pushing to Meilisearch?"
"Show categories that are not included in the navigation menu","Show categories that are not included in the navigation menu"
"Show more products","Show more products"
"Show most popular queries suggestions when there are no results","Show most popular queries suggestions when there are no results"
"Show queue information panel in administration header","Show queue information panel in administration header"
"Small Image","Small Image"
"Status","Status"
"Store","Store"
"Suggestion","Suggestion"
"Suggestions' indices extra settings","Suggestions' indices extra settings"
"Synonyms","Synonyms"
"Synonyms File","Synonyms File"
"System","System"
"The average processing time of the queue has been performed under 3 minutes.","The average processing time of the queue has been performed under 3 minutes."
"The DOM selector used to inject the results using JavaScript.","The DOM selector used to inject the results using JavaScript."
"The image used at the Search Results Page.","The image used at the Search Results Page."
"The maximal number of SKU(s) is %s. Could you please remove some SKU(s) to fit into the limit?","The maximal number of SKU(s) is %s. Could you please remove some SKU(s) to fit into the limit?"
"This indexing queue job no longer exists.","This indexing queue job no longer exists."
"This will delete all MeiliSearch indexes. Are you sure?","This will delete all MeiliSearch indexes. Are you sure?"
"This will reindex all MeiliSearch indexes. Continue?","This will reindex all MeiliSearch indexes. Continue?"
"Thumbnail","Thumbnail"
"to","to"
"To specify multiple User-Agents, please put one User-Agent per line.","To specify multiple User-Agents, please put one User-Agent per line."
"Total: %s","Total: %s"
"Type","Type"
"Unable to connect to MeiliSearch server at %s. Please check the URL and ensure MeiliSearch is running. Error: %s","Unable to connect to MeiliSearch server at %s. Please check the URL and ensure MeiliSearch is running. Error: %s"
"Update all category products on category update","Update all category products on category update"
"Updated At","Updated At"
"Update product on category products update","Update product on category products update"
"View","View"
"When set to Yes, autocomplete menu won't disappear when clicked outside of the menu. It's useful when you debug / style the look of autocomplete menu.","When set to Yes, autocomplete menu won't disappear when clicked outside of the menu. It's useful when you debug / style the look of autocomplete menu."
"Width","Width"
"You can reindex up to 10 SKUs at once.","You can reindex up to 10 SKUs at once."
"You can try one of the popular search queries","You can try one of the popular search queries"
"⚠️ Security Warning: You should use HTTPS for production MeiliSearch instances to protect your API keys.","⚠️ Security Warning: You should use HTTPS for production MeiliSearch instances to protect your API keys."
"✅ Successfully connected to MeiliSearch server!","✅ Successfully connected to MeiliSearch server!"
